SID:010,5,BETG1A,RW32, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,3190,    ,+,01900,     ,05000, ,   ,    ,   ,ETIC,ET,P,A, , , , ;
SID:020,5,BETG1A,RW32,BETGI,ET,E,A,EE  ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,BETG1B,RW14, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,1390,    ,+,01900,     ,05000, ,   ,    ,   ,ETIC,ET,P,A, , , , ;
SID:020,5,BETG1B,RW14,BETGI,ET,E,A,EE  , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:005,2,BETG1C,RW32,RW14,ET,P,G,G   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,05000, ,   ,    ,   ,GRF,ET,D, , , , , ;
SID:010,2,BETG1C,RW32, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,3190,    ,+,01900,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,BETG1C,RW32, , , , ,    ,R,   ,VI,Y, , , , ,      ,    ,    ,1950,    , ,     ,     ,     ,-,230,    ,   , , , , , , , , ;
SID:030,2,BETG1C,RW32,BETGI,ET,E,A,EE  , ,   ,CF, ,GRF,ET,D, ,      ,1500,0120,1500,0100,+,06000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:005,2,BETG1D,RW14,RW32,ET,P,G,G   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,05000, ,   ,    ,   ,GRF,ET,D, , , , , ;
SID:010,2,BETG1D,RW14, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,1390,    ,+,01900,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,BETG1D,RW14,BETGI,ET,E,A,EE  , ,   ,CF, ,GRF,ET,D, ,      ,1500,0120,1500,0120,+,06000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,ELGO1A,RW32, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,3190,    ,+,01900,     ,05000, ,   ,    ,   ,ETIC,ET,P,A, , , , ;
SID:020,5,ELGO1A,RW32,ELGOT,ET,E,A,EE  , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,ELGO1B,RW14, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,1390,    ,+,02200,     ,05000, ,   ,    ,   ,ETIC,ET,P,A, , , , ;
