SID:010,5,COL1R,RW31R,DK041,ED,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,00700,     ,05000,-,210,    ,   ,EDDK,ED,P,A, , , , ;
SID:030,5,COL1R,RW31R,DK035,ED,P,C,E   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,210,    ,   , , , , , , , , ;
SID:040,5,COL1R,RW31R,DK037,ED,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,COL1R,RW31R,COL,ED,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,COL4B,RW31R,DK034,ED,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,00700,     ,05000,-,210,    ,   ,EDDK,ED,P,A, , , , ;
SID:030,5,COL4B,RW31R,DK035,ED,P,C,E   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,210,    ,   , , , , , , , , ;
SID:040,5,COL4B,RW31R,DK037,ED,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,COL4B,RW31R,COL,ED,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,COL4F,RW13L, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1340,    ,+,00700,     ,05000,-,220,    ,   ,EDDK,ED,P,A, , , , ;
SID:020,5,COL4F,RW13L,DK130,ED,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,01500,     ,     ,-,220,    ,   , , , , , , , , ;
SID:030,5,COL4F,RW13L,DK141,ED,P,C,E   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,220,    ,   , , , , , , , , ;
SID:040,5,COL4F,RW13L,COL,ED,D, ,VE  , ,   ,CF, ,KBO,ED,D, ,      ,1022,0177,0950,0140, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,COL7D,RW24, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2410,    ,+,00700,     ,05000,-,220,    ,   ,EDDK,ED,P,A, , , , ;
SID:020,5,COL7D,RW24,DK021,ED,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,01100,     ,     ,-,220,    ,   , , , , , , , , ;
SID:030,5,COL7D,RW24,DK022,ED,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,250,    ,   , , , , , , , , ;
SID:035,5,COL7D,RW24,DK024,ED,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,04000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,COL7D,RW24,COL,ED,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,COL8K,RW06, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0610,    ,+,00900,     ,05000,-,250,    ,   ,EDDK,ED,P,A, , , , ;
SID:020,5,COL8K,RW06,DK073,ED,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,02400,     ,     ,-,250,    ,   , , , , , , , , ;
SID:030,5,COL8K,RW06,COL,ED,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,COL9E,RW13R, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1340,    ,+,00700,     ,05000,-,220,    ,   ,EDDK,ED,P,A, , , , ;
SID:020,5,COL9E,RW13R,DK142,ED,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,01500,     ,     ,-,220,    ,   , , , , , , , , ;
SID:030,5,COL9E,RW13R,COL,ED,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,5,COL9M,RW31L,DK033,ED,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,00700,     ,05000,-,220,    ,   ,EDDK,ED,P,A, , , , ;
SID:030,5,COL9M,RW31L,DK035,ED,P,C,E   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,220,    ,   , , , , , , , , ;
SID:040,5,COL9M,RW31L,DK037,ED,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,COL9M,RW31L,COL,ED,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,EDDK1B,RW31R, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,3140,    ,+,02400,     ,05000, ,   ,    ,   ,KBO,ED,D, , , , , ;
SID:020,2,EDDK1B,RW31R, , , , , E  , ,   ,VM, , , , , ,      ,    ,    ,3140,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
