SID:010,5,BIP01D,RW15,OF102,ZS,P,C,E   , ,   ,CF, ,XQH,ZS,D, ,      ,1534,0089,1540,0070, ,     ,     ,     , ,   ,    ,   ,XQH,ZS,D, , , , , ;
SID:020,5,BIP01D,RW15,OF214,ZS,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,01970,     ,     ,-,210,    ,   , , , , , , , , ;
SID:030,5,BIP01D,RW15,HFC,ZS,D, ,V   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,BIP01D,RW15,OF217,ZS,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,09850,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,BIP01D,RW15,OF218,ZS,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,09850,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,BIP01D,RW15,BIPIM,ZS,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,BIP02D,RW33,OF209,ZS,P,C,E   , ,   ,CF, ,XQH,ZS,D, ,      ,3348,0059,3340,0070, ,     ,     ,     , ,   ,    ,   ,XQH,ZS,D, , , , , ;
SID:020,5,BIP02D,RW33,NOKUL,ZS,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,01970,     ,     ,-,230,    ,   , , , , , , , , ;
SID:030,5,BIP02D,RW33,GUXUV,ZS,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,09850,03940,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,BIP02D,RW33,BIPIM,ZS,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,BIP03D,RW15,OF102,ZS,P,C,E   , ,   ,CF, ,XQH,ZS,D, ,      ,1534,0089,1540,0070, ,     ,     ,     , ,   ,    ,   ,XQH,ZS,D, , , , , ;
SID:020,5,BIP03D,RW15,OF214,ZS,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,01970,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,BIP03D,RW15,OF215,ZS,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,02960,     ,     ,-,230,    ,   , , , , , , , , ;
SID:040,5,BIP03D,RW15,OF218,ZS,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,09850,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,BIP03D,RW15,BIPIM,ZS,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,BIP91D,RW15, , , , ,    , ,   ,CD, ,XQH,ZS,D, ,      ,    ,    ,1540,0089,+,01320,     ,     , ,   ,    ,   ,XQH,ZS,D, , , , , ;
SID:025,2,BIP91D,RW15, , , , ,    ,R,   ,VI,Y, , , , ,      ,    ,    ,3040,    , ,     ,     ,     ,-,205,    ,   , , , , , , , , ;
SID:030,2,BIP91D,RW15,HFC,ZS,D, ,V   , ,   ,CF, ,HFC,ZS,D, ,      ,0000,0000,3340,0150,+,05910,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,BIP91D,RW15,GUXUV,ZS,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,09850,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,BIP91D,RW15,BIPIM,ZS,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,BIP92D,RW33, , , , ,    , ,   ,CD, ,XQH,ZS,D, ,      ,    ,    ,3340,0058,+,01320,     ,     , ,   ,    ,   ,XQH,ZS,D, , , , , ;
SID:030,2,BIP92D,RW33,NOKUL,ZS,E,A,E C , ,   ,CF, ,XQH,ZS,D, ,      ,3342,0106,3340,0050,+,01970,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,BIP92D,RW33,GUXUV,ZS,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,09850,03940,     ,-,205,    ,   , , , , , , , , ;
SID:050,2,BIP92D,RW33,BIPIM,ZS,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,IKU01D,RW15,OF102,ZS,P,C,E   , ,   ,CF, ,XQH,ZS,D, ,      ,1534,0089,1540,0070, ,     ,     ,     , ,   ,    ,   ,XQH,ZS,D, , , , , ;
