APPCH:010,A,L28,WEISS,WEISS,K6,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,-,06000,     ,18000, ,   ,    ,   , , , , , ,0,N,S;
APPCH:020,A,L28,WEISS,WEISS,K6,P,C,EE H,R,   ,HF, , , , , ,      ,    ,    ,2840,T010,+,04200,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:010,L,L28, ,WEISS,K6,P,C,E  I, ,   ,IF, ,IHZL,K6,P,I,      ,1041,0128,    ,    ,+,04200,     ,18000, ,   ,    ,   , , , , , ,0,N,S;
APPCH:020,L,L28, ,WAGDU,K6,P,C,E  F, ,   ,CF, ,IHZL,K6,P,I,      ,1041,0059,2840,0070,+,03200,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:030,L,L28, ,RW28,K6,P,G,GY M, ,   ,CF, ,IHZL,K6,P,I,      ,1041,0009,2840,0049, ,01635,     ,     , ,   ,-300,   , , , , , ,0,N,S;
APPCH:040,L,L28, ,ECEDI,K6,P,C,E M , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,04400,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:050,L,L28, ,ECEDI,K6,P,C,EE H,R,   ,HM, , , , , ,      ,    ,    ,1040,0050, ,     ,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:010,A,R10,ECEDI,ECEDI,K6,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,-,06000,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,A,R10,ECEDI,ECEDI,K6,P,C,EE H,R,   ,HF, , , , , ,      ,    ,    ,1040,0050,+,04400,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,R,R10, ,ECEDI,K6,P,C,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,04400,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,R,R10, ,HOGUL,K6,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,1040,0070,+,03500,     ,     , ,   ,    ,   , , , , , ,A,J,S;
PRDAT:A,       LPV,A, LNAV/VNAV,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:025,R,R10, ,IWTOJ,K6,P,C,E S , ,302,TF, , , , , ,      ,    ,    ,1040,0028,+,02600,     ,     , ,   ,-300,   , , , , , ,A,J,S;
APPCH:030,R,R10, ,RW10,K6,P,G,GY M, ,302,TF, , , , , ,      ,    ,    ,1040,0030, ,01649,     ,     , ,   ,-300,   , , , , , ,A,J,S;
APPCH:040,R,R10, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,1040,    ,+,02003,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:050,R,R10, ,YOLBU,K6,P,C,EY  , ,010,DF, , , , , ,      ,    ,    ,    ,    ,+,04600,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:060,R,R10, ,YOLBU,K6,P,C,EE H,R,   ,HM, , , , , ,      ,    ,    ,2840,0040, ,     ,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R28,YOLBU,YOLBU,K6,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,-,06000,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,A,R28,YOLBU,YOLBU,K6,P,C,EE H,R,   ,HF, , , , , ,      ,    ,    ,2840,0040,+,04600,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,R,R28, ,YOLBU,K6,P,C,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,04600,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,R,R28, ,JOVKU,K6,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,2840,0073,+,03500,     ,     , ,   ,    ,   , , , , , ,A,J,S;
PRDAT:A,       LPV,A, LNAV/VNAV,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:025,R,R28, ,EUMIG,K6,P,C,E S , ,302,TF, , , , , ,      ,    ,    ,2840,0031,+,02460,     ,     , ,   ,-317,   , , , , , ,A,J,S;
APPCH:030,R,R28, ,RW28,K6,P,G,GY M, ,302,TF, , , , , ,      ,    ,    ,2840,0025, ,01635,     ,     , ,   ,-317,   , , , , , ,A,J,S;
APPCH:040,R,R28, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,2840,    ,+,01978,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:050,R,R28, ,ECEDI,K6,P,C,EY  , ,010,DF, , , , , ,      ,    ,    ,    ,    ,+,04400,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:060,R,R28, ,ECEDI,K6,P,C,EE H,R,   ,HM, , , , , ,      ,    ,    ,1040,0050, ,     ,     ,     , ,   ,    ,   , , , , , ,A,J,S;
RWY:RW10 ,     ,      ,01593, ,    , ,   ;N40591401,W076001085,0200;
RWY:RW28 ,     ,      ,01595, ,IHZL,0,   ;N40591068,W075590975,0103;
