APPCH:010,A,R04,BURTU,BURTU,WA,P,C,E  C, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,13000, ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,A,R04,BURTU,WB401,WA,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,02500,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,R,R04, ,WB401,WA,P,C,E  I, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,02500,     ,13000, ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,R,R04, ,WB402,WA,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,0400,0040,+,02000,     ,     , ,   ,    ,   ,WAWB,WA,P,A, ,B,J,S;
PRDAT: ,          ,A, LNAV/VNAV,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:030,R,R04, ,RW04,WA,P,G,GY M, ,302,TF, , , , , ,      ,    ,    ,0400,0060, ,00148,     ,     , ,   ,-290,   , , , , , ,B,J,S;
APPCH:040,R,R04, ,BURTU,WA,P,C,E M ,L,010,DF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:050,R,R04, ,BURTU,WA,P,C,EE H,R,010,HM, , , , , ,      ,    ,    ,0400,T010,+,03000,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,A,R22,RUKLA,RUKLA,WA,P,C,E  C, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,04000,     ,13000, ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,A,R22,RUKLA,WB601,WA,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,R,R22, ,WB601,WA,P,C,E  I, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,13000, ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,R,R22, ,WB602,WA,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,2210,0040,+,02000,     ,     , ,   ,    ,   ,WAWB,WA,P,A, ,B,J,S;
PRDAT: ,          ,A, LNAV/VNAV,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:030,R,R22, ,RW22,WA,P,G,GY M, ,302,TF, , , , , ,      ,    ,    ,2210,0060, ,00150,     ,     , ,   ,-290,   , , , , , ,B,J,S;
APPCH:040,R,R22, , , , , ,  M , ,010,CA, , , , , ,      ,    ,    ,2210,    ,+,01000,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:050,R,R22, ,RUKLA,WA,P,C,E   ,R,010,DF, , , , , ,      ,    ,    ,    ,    ,+,04000,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:060,R,R22, ,RUKLA,WA,P,C,EE H,R,010,HM, , , , , ,      ,    ,    ,2210,T010,+,04000,     ,     , ,   ,    ,   , , , , , ,B,J,S;
RWY:RW04 ,     ,      ,00098, ,    , ,   ;S05293713,E122334785,0000;
RWY:RW22 ,     ,      ,00100, ,    , ,   ;S05284752,E122343056,0000;
