SID:010,2,COPAS4,RW27, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2720,    ,+,00420,     ,18500, ,   ,    ,   ,LMM,MM,D, , , , , ;
SID:020,2,COPAS4,RW27,LMM,MM,D, ,V   , ,   ,FD, ,LMM,MM,D, ,      ,0000,0000,2720,0070, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,COPAS4,RW27, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,2720,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,COPAS4,RW27,D208J,MM,P,C,E   ,L,   ,AF, ,LMM,MM,D, ,      ,2086,0100,2720,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,COPAS4,RW27,COPAS,MM,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,INDIO3,RW09, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0920,    ,+,00420,     ,18500, ,   ,    ,   ,LMM,MM,D, , , , , ;
SID:020,2,INDIO3,RW09,LMM,MM,D, ,V   , ,   ,FD, ,LMM,MM,D, ,      ,0000,0000,0910,0070, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,INDIO3,RW09, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,0910,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,INDIO3,RW09,D113J,MM,P,C,E   ,R,   ,AF, ,LMM,MM,D, ,      ,1140,0100,0910,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,INDIO3,RW09,INDIO,MM,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,KEBEX1,RW09, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0920,    ,+,00420,     ,18500, ,   ,    ,   ,LMM,MM,D, , , , , ;
SID:020,2,KEBEX1,RW09,LMM,MM,D, ,V   , ,   ,FD, ,LMM,MM,D, ,      ,0000,0000,0910,0070, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,KEBEX1,RW09, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,0910,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,KEBEX1,RW09,D033J,MM,P,C,E   ,L,   ,AF, ,LMM,MM,D, ,      ,0338,0100,0910,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,KEBEX1,RW09,KEBEX,MM,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,LMM4A,RW09, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0920,    ,+,00420,     ,18500, ,   ,    ,   ,LMM,MM,D, , , , , ;
SID:020,2,LMM4A,RW09,LMM,MM,D, ,V   , ,   ,FD, ,LMM,MM,D, ,      ,0000,0000,0910,0070, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,LMM4A,RW09,LMM,MM,D, ,VE H,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,02400,     ,     , ,   ,    ,   , , , , , , , , ;
