APPCH:010,A,R17,EBARA,EBARA,BI,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,02000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,A,R17,EBARA,MIRRE,BI,P,C,EE H, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,02000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R17,VICCI,VICCI,BI,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,02000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,A,R17,VICCI,MIRRE,BI,P,C,EE H, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,02000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,R,R17, ,MIRRE,BI,P,C,E  D, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,02000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,R,R17, ,GR17F,BI,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,1700,0040,+,02000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
PRDAT:A,       LPV,A, LNAV/VNAV,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:030,R,R17, ,RW17,BI,P,G,GY M, ,302,TF, , , , , ,      ,    ,    ,1700,0056, ,00130,     ,     , ,   ,-314,   , , , , , ,A,J,S;
APPCH:040,R,R17, ,GR17T,BI,P,C,EYM , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:050,R,R17, ,MIRRE,BI,P,C,E   ,R,010,DF, , , , , ,      ,    ,    ,    ,    ,+,02000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:060,R,R17, ,MIRRE,BI,P,C,EE H,L,010,HM, , , , , ,      ,    ,    ,1700,T010,+,02000,     ,     ,-,170,    ,   , , , , , ,A,J,S;
APPCH:010,A,R35,DOCMA,DOCMA,BI,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,02500,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,A,R35,DOCMA,LALPO,BI,P,C,EE H, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,02500,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R35,TESSE,TESSE,BI,E,A,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,03900,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,A,R35,TESSE,LALPO,BI,P,C,EE H, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,02500,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,R,R35, ,LALPO,BI,P,C,E  D, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,02500,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,R,R35, ,GR35F,BI,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,3510,0040,+,02000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
PRDAT:A,       LPV,A, LNAV/VNAV,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:030,R,R35, ,RW35,BI,P,G,GY M, ,302,TF, , , , , ,      ,    ,    ,3510,0059, ,00125,     ,     , ,   ,-300,   , , , , , ,A,J,S;
APPCH:040,R,R35, ,GR35T,BI,P,C,EYM , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:050,R,R35, ,LALPO,BI,P,C,E   ,L,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:060,R,R35, ,LALPO,BI,P,C,EE H,R,   ,HM, , , , , ,      ,    ,    ,3510,T010,+,02500,     ,     , ,   ,    ,   , , , , , ,A,J,S;
RWY:RW17 ,-0200,      ,00080, ,    , ,   ;N66330141,W018011672,0000;
RWY:RW35 ,+0200,      ,00075, ,    , ,   ;N66323020,W018004797,0000;
